iter	Passed	Remaining
0	287	143391
1	630	157015
2	911	150968
3	1196	148397
4	1481	146674
5	1772	145959
6	2051	144457
7	2311	142143
8	2536	138363
9	2834	138886
10	3143	139733
11	3399	138241
12	3697	138505
13	3972	137908
14	4233	136883
15	4516	136630
16	4767	135441
17	5024	134558
18	5282	133720
19	5552	133248
20	5809	132517
21	6067	131831
22	6322	131131
23	6584	130599
24	6839	129955
25	7110	129625
26	7401	129659
27	7666	129232
28	7914	128540
29	8173	128049
30	8468	128125
31	8718	127511
32	8972	126969
33	9315	127683
34	9576	127230
35	9839	126818
36	10107	126474
37	10404	126494
38	10705	126549
39	11001	126515
40	11311	126635
41	11608	126586
42	11836	125792
43	12121	125618
44	12371	125092
45	12656	124911
46	12956	124875
47	13238	124664
48	13514	124391
49	13781	124029
50	13997	123233
51	14286	123081
52	14557	122774
53	14829	122480
54	15111	122262
55	15397	122079
56	15664	121744
57	15972	121723
58	16266	121585
59	16517	121125
60	16778	120752
61	17061	120531
62	17318	120130
63	17605	119934
64	17873	119613
65	18116	119127
66	18414	119004
67	18705	118836
68	19007	118725
69	19344	118832
70	19625	118584
71	19921	118419
72	20233	118353
73	20545	118275
74	20799	117861
75	21078	117596
76	21369	117393
77	21658	117175
78	21938	116911
79	22186	116478
80	22444	116101
81	22745	115944
82	23066	115890
83	23379	115783
84	23698	115705
85	24037	115715
86	24306	115384
87	24588	115116
88	24912	115045
89	25255	115053
90	25549	114830
91	25824	114527
92	26133	114370
93	26484	114388
94	26771	114130
95	27077	113950
96	27413	113893
97	27703	113641
98	27972	113304
99	28256	113027
100	28536	112734
101	28836	112520
102	29139	112312
103	29433	112072
104	29716	111792
105	30000	111510
106	30271	111185
107	30536	110836
108	30822	110564
109	31136	110393
110	31405	110060
111	31658	109675
112	31950	109424
113	32254	109212
114	32522	108879
115	32805	108596
116	33126	108438
117	33393	108104
118	33695	107882
119	33988	107631
120	34272	107350
121	34516	106943
122	34839	106782
123	35127	106516
124	35416	106250
125	35688	105933
126	35939	105555
127	36222	105272
128	36490	104946
129	36796	104727
130	37095	104490
131	37378	104206
132	37623	103817
133	37901	103523
134	38219	103334
135	38546	103167
136	38838	102907
137	39109	102591
138	39400	102327
139	39664	101994
140	39983	101801
141	40261	101505
142	40547	101226
143	40846	100980
144	41185	100832
145	41494	100608
146	41805	100389
147	42104	100140
148	42426	99944
149	42747	99743
150	43067	99539
151	43396	99354
152	43694	99098
153	43985	98824
154	44291	98584
155	44634	98425
156	44992	98296
157	45269	97987
158	45595	97785
159	45900	97538
160	46208	97295
161	46526	97073
162	46833	96828
163	47149	96598
164	47452	96342
165	47720	96015
166	48028	95769
167	48397	95642
168	48727	95435
169	49040	95195
170	49372	94991
171	49693	94764
172	49988	94486
173	50277	94198
174	50594	93960
175	50908	93717
176	51260	93543
177	51592	93330
178	51913	93096
179	52271	92927
180	52631	92760
181	52980	92571
182	53278	92291
183	53601	92055
184	53939	91843
185	54272	91621
186	54554	91313
187	54863	91049
188	55192	90820
189	55433	90444
190	55725	90153
191	56035	89890
192	56314	89578
193	56612	89296
194	56920	89029
195	57214	88741
196	57500	88439
197	57784	88135
198	58052	87807
199	58331	87497
200	58626	87210
201	58891	86879
202	59209	86627
203	59513	86352
204	59829	86096
205	60122	85805
206	60390	85479
207	60671	85173
208	60972	84895
209	61279	84624
210	61506	84243
211	61798	83952
212	62096	83669
213	62380	83368
214	62676	83082
215	62968	82791
216	63263	82504
217	63478	82114
218	63784	81841
219	64014	81473
220	64323	81205
221	64669	80981
222	64979	80714
223	65274	80427
224	65586	80161
225	65898	79894
226	66199	79614
227	66512	79348
228	66766	79012
229	67070	78735
230	67372	78455
