user_id,item_id,score,label
7,12,0.6958,1
4,2,0.8584,1
8,1,0.326,0
5,16,0.2202,0
7,5,0.7111,1
10,3,0.8095,0
3,12,0.3487,1
7,8,0.0962,0
8,3,0.9405,1
5,1,0.3976,0
4,3,0.5178,1
8,5,0.8377,0
8,15,0.6757,1
3,14,0.7352,1
6,3,0.2091,0
2,5,0.6958,1
8,14,0.2286,0
6,7,0.175,1
2,9,0.9822,0
5,15,0.5166,1
1,15,0.2608,1
10,10,0.9963,1
6,13,0.9654,1
9,19,0.5583,1
1,7,0.8826,1
10,17,0.1887,0
3,20,0.2789,0
7,4,0.7004,0
4,5,0.8467,1
9,7,0.8563,1
3,13,0.4045,1
3,11,0.8509,0
5,13,0.7853,1
7,19,0.5807,0
2,2,0.3723,1
4,10,0.9401,0
9,13,0.9737,1
2,6,0.2839,0
10,12,0.3054,1
9,12,0.4856,1
10,20,0.4484,1
5,11,0.9945,1
2,7,0.1759,0
4,1,0.0181,1
7,1,0.4939,1
8,20,0.1788,1
1,9,0.7442,1
8,6,0.5425,0
4,8,0.5088,0
6,5,0.2505,0
6,1,0.5899,1
10,19,0.9789,1
6,12,0.9061,0
2,15,0.4344,0
10,9,0.3501,1
2,20,0.6451,1
4,17,0.8642,1
8,2,0.7686,0
5,3,0.0436,0
2,17,0.9946,1
5,5,0.4699,1
8,17,0.2796,1
9,17,0.7477,1
9,2,0.9531,1
1,2,0.3308,1
9,5,0.5528,1
9,1,0.9803,0
8,19,0.0753,1
8,12,0.1909,0
3,4,0.4853,1
1,11,0.3727,0
3,6,0.8442,0
3,5,0.93,1
1,20,0.0704,0
5,2,0.2089,1
10,6,0.6711,0
7,11,0.3586,0
10,16,0.2542,0
9,16,0.2953,1
9,9,0.8487,0
